accelX (mg),accelY (mg),accelZ (mg),gyroX (mdps),gyroY (mdps),gyroZ (mdps),pressure (mbar x100),temp (x100),time HHMMSSms ,lat (deg),lat (min),long (deg),long (min),alt (m x10),,
0,0,0,0,0,0,93287,940,22325880,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-63,966,5,-218,1111,630,93298,939,22325900,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-62,968,5,-236,1190,665,93295,940,22325920,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-63,969,4,-437,1128,551,93286,941,22325960,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-67,967,8,-350,1251,761,93287,942,22325980,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-60,966,3,-332,1190,761,93295,942,22330000,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-64,971,8,-367,1198,691,93279,942,22330021,53,624374,-111,-4223849,7067,,
,,,,,,,,,,,,,,,
-64,966,3,-323,1225,647,93290,943,22330060,53,624347,-111,-4223932,7060,,
,,,,,,,,,,,,,,,
-62,968,7,-332,1260,778,93284,944,22330080,53,624358,-111,-4223931,7057,,
,,,,,,,,,,,,,,,
-63,965,5,-402,1207,656,93295,943,22330100,53,624361,-111,-4223943,7049,,
,,,,,,,,,,,,,,,
-60,969,3,-323,1242,735,93282,945,22330120,53,624367,-111,-4223938,7044,,
,,,,,,,,,,,,,,,
-62,968,5,-367,1198,673,93295,946,22330160,53,624380,-111,-4223942,7041,,
,,,,,,,,,,,,,,,
-64,969,5,-315,1181,665,93291,946,22330180,53,624380,-111,-4223943,7041,,
,,,,,,,,,,,,,,,
-60,969,6,-507,1102,726,93293,946,22330200,53,624384,-111,-4223947,7041,,
,,,,,,,,,,,,,,,
-60,966,4,-350,1190,708,93290,947,22330220,53,624384,-111,-4223946,7041,,
,,,,,,,,,,,,,,,
-62,966,8,-455,1207,612,93304,948,22330260,53,624380,-111,-4223944,7041,,
,,,,,,,,,,,,,,,
-62,969,5,-358,1181,682,93280,948,22330280,53,624380,-111,-4223947,7040,,
,,,,,,,,,,,,,,,
-65,967,7,-350,1303,603,93292,948,22330300,53,624379,-111,-4223944,7040,,
,,,,,,,,,,,,,,,
-64,969,2,-437,1286,700,93290,950,22330320,53,624379,-111,-4223948,7040,,
,,,,,,,,,,,,,,,
-58,964,7,-306,1260,630,93292,951,22330360,53,624380,-111,-4223949,7040,,
,,,,,,,,,,,,,,,
-64,966,5,-411,1198,612,93294,952,22330380,53,624383,-111,-4223949,7040,,
,,,,,,,,,,,,,,,
-63,967,5,-306,980,630,93290,952,22330400,53,624383,-111,-4223951,7041,,
,,,,,,,,,,,,,,,
-62,965,6,-437,1286,673,93297,953,22330420,53,624383,-111,-4223951,7041,,
,,,,,,,,,,,,,,,
-60,967,4,-411,1303,647,93287,953,22330460,53,624384,-111,-4223954,7041,,
,,,,,,,,,,,,,,,
-63,971,8,-280,1155,673,93288,955,22330480,53,624381,-111,-4223955,7041,,
,,,,,,,,,,,,,,,
-65,966,0,-455,1321,638,93282,954,22330500,53,624381,-111,-4223955,7041,,
,,,,,,,,,,,,,,,
-62,966,10,-472,1268,778,93293,955,22330520,53,624380,-111,-4223955,7040,,
,,,,,,,,,,,,,,,
-59,969,6,-516,1373,735,93295,956,22330560,53,624379,-111,-4223961,7040,,
,,,,,,,,,,,,,,,
-63,966,7,-358,1102,603,93280,957,22330580,53,624377,-111,-4223964,7040,,
,,,,,,,,,,,,,,,
-60,968,4,-463,1032,770,93283,956,22330600,53,624377,-111,-4223969,7040,,
,,,,,,,,,,,,,,,
-63,967,4,-218,1190,638,93292,957,22330620,53,624379,-111,-4223970,7040,,
,,,,,,,,,,,,,,,
-67,969,5,-411,1303,700,93294,958,22330660,53,624380,-111,-4223975,7040,,
,,,,,,,,,,,,,,,
-59,967,5,-332,1225,700,93273,958,22330680,53,624380,-111,-4223977,7040,,
,,,,,,,,,,,,,,,
-60,971,4,-358,1330,603,93304,959,22330700,53,624380,-111,-4223977,7041,,
,,,,,,,,,,,,,,,
-61,967,4,-341,1268,708,93305,959,22330720,53,624380,-111,-4223978,7041,,
,,,,,,,,,,,,,,,
-62,967,9,-481,1277,752,93290,960,22330760,53,624380,-111,-4223979,7041,,
,,,,,,,,,,,,,,,
-62,969,5,-253,1233,665,93288,959,22330780,53,624380,-111,-4223983,7041,,
,,,,,,,,,,,,,,,
-60,968,6,-428,997,647,93295,960,22330800,53,624380,-111,-4223985,7041,,
,,,,,,,,,,,,,,,
-61,967,5,-376,997,665,93297,961,22330820,53,624381,-111,-4223986,7041,,
,,,,,,,,,,,,,,,
-63,970,5,-210,813,568,93299,963,22330860,53,624381,-111,-4223987,7040,,
,,,,,,,,,,,,,,,
-62,965,3,-455,770,735,93289,964,22330880,53,624380,-111,-4223987,7040,,
,,,,,,,,,,,,,,,
-62,964,8,-323,1015,665,93293,964,22330900,53,624380,-111,-4223989,7040,,
,,,,,,,,,,,,,,,
-44,977,13,-350,1750,638,93294,964,22330920,53,624379,-111,-4223987,7040,,
,,,,,,,,,,,,,,,
-56,973,3,-192,1330,770,93301,966,22330960,53,624377,-111,-4223986,7040,,
,,,,,,,,,,,,,,,
-65,953,11,-315,1426,673,93292,966,22330980,53,624377,-111,-4223987,7040,,
,,,,,,,,,,,,,,,
-65,977,4,-402,1303,586,93288,966,22331000,53,624376,-111,-4223989,7040,,
,,,,,,,,,,,,,,,
-57,965,4,-420,1076,726,93304,967,22331020,53,624373,-111,-4223987,7041,,
,,,,,,,,,,,,,,,
-61,961,-2,-271,1426,665,93283,967,22331060,53,624373,-111,-4223987,7041,,
,,,,,,,,,,,,,,,
-70,967,14,-376,1356,700,93293,968,22331080,53,624373,-111,-4223989,7041,,
,,,,,,,,,,,,,,,
-59,972,4,-437,1365,560,93293,968,22331100,53,624372,-111,-4223991,7041,,
,,,,,,,,,,,,,,,
-60,963,3,-297,1085,577,93299,969,22331120,53,624369,-111,-4223989,7041,,
,,,,,,,,,,,,,,,
-57,968,3,-568,1190,691,93296,970,22331160,53,624369,-111,-4223989,7041,,
,,,,,,,,,,,,,,,
-62,966,4,-148,1032,708,93310,970,22331180,53,624370,-111,-4223990,7040,,
,,,,,,,,,,,,,,,
-75,961,3,-463,1032,577,93299,971,22331200,53,624369,-111,-4223991,7040,,
,,,,,,,,,,,,,,,
-49,975,5,-411,1146,551,93303,971,22331220,53,624369,-111,-4223992,7040,,
,,,,,,,,,,,,,,,
-53,971,4,-472,1662,752,93297,972,22331260,53,624367,-111,-4223991,7040,,
,,,,,,,,,,,,,,,
-81,958,15,-358,1461,787,93293,972,22331280,53,624367,-111,-4223991,7040,,
,,,,,,,,,,,,,,,
-63,977,8,-516,1225,568,93304,973,22331300,53,624366,-111,-4223991,7040,,
,,,,,,,,,,,,,,,
-65,959,3,-323,1137,586,93283,973,22331320,53,624366,-111,-4223992,7040,,
,,,,,,,,,,,,,,,
-52,969,3,-411,778,813,93293,974,22331360,53,624365,-111,-4223993,7040,,
,,,,,,,,,,,,,,,
-69,956,8,-201,1067,498,93297,974,22331380,53,624363,-111,-4223994,7040,,
,,,,,,,,,,,,,,,
-74,978,51,-551,980,901,93294,974,22331400,53,624362,-111,-4223997,7041,,
,,,,,,,,,,,,,,,
-68,963,10,-157,1172,708,93301,977,22331420,53,624363,-111,-4223997,7041,,
,,,,,,,,,,,,,,,
-67,965,3,-498,1251,595,93285,977,22331460,53,624362,-111,-4223999,7041,,
,,,,,,,,,,,,,,,
-60,961,6,-428,1102,796,93293,977,22331480,53,624363,-111,-4223999,7041,,
,,,,,,,,,,,,,,,
-65,973,5,-218,1513,586,93293,977,22331500,53,624362,-111,-4223999,7041,,
,,,,,,,,,,,,,,,
-72,964,10,-595,892,708,93288,978,22331520,53,624362,-111,-4223998,7041,,
,,,,,,,,,,,,,,,
-57,956,4,-183,1216,770,93306,979,22331560,53,624362,-111,-4223998,7042,,
,,,,,,,,,,,,,,,
-48,987,1,-612,1225,446,93294,979,22331580,53,624361,-111,-4223997,7042,,
,,,,,,,,,,,,,,,
-68,972,12,-210,945,813,93282,980,22331600,53,624359,-111,-4223998,7042,,
,,,,,,,,,,,,,,,
-54,958,8,-481,927,621,93289,981,22331620,53,624359,-111,-4223999,7042,,
,,,,,,,,,,,,,,,
-51,1008,66,-420,857,525,93289,981,22331660,53,624359,-111,-4223999,7042,,
,,,,,,,,,,,,,,,
-27,933,-1,-332,1190,796,93290,981,22331680,53,624359,-111,-4224000,7042,,
,,,,,,,,,,,,,,,
-62,991,7,-236,1470,665,93287,982,22331700,53,624359,-111,-4224003,7042,,
,,,,,,,,,,,,,,,
-68,980,13,-586,980,708,93287,982,22331720,53,624358,-111,-4224003,7042,,
,,,,,,,,,,,,,,,
-54,939,3,-227,1653,708,93281,983,22331760,53,624356,-111,-4224005,7042,,
,,,,,,,,,,,,,,,
-59,983,12,-437,1233,673,93290,983,22331780,53,624356,-111,-4224004,7042,,
,,,,,,,,,,,,,,,
-61,972,0,-376,997,682,93296,984,22331800,53,624356,-111,-4224005,7042,,
,,,,,,,,,,,,,,,
-63,952,8,-140,1505,603,93286,985,22331820,53,624356,-111,-4224006,7043,,
,,,,,,,,,,,,,,,
-61,977,3,-507,1085,735,93296,984,22331860,53,624355,-111,-4224008,7043,,
,,,,,,,,,,,,,,,
-60,975,8,-175,1172,691,93306,985,22331880,53,624355,-111,-4224010,7043,,
,,,,,,,,,,,,,,,
-66,952,5,-455,1155,603,93279,986,22331900,53,624355,-111,-4224010,7043,,
,,,,,,,,,,,,,,,
-64,973,3,-131,1417,621,93292,986,22331920,53,624355,-111,-4224011,7043,,
,,,,,,,,,,,,,,,
-60,975,8,-481,918,665,93276,986,22331960,53,624355,-111,-4224012,7044,,
,,,,,,,,,,,,,,,
-64,958,1,-245,1242,577,93297,986,22331980,53,624354,-111,-4224013,7044,,
,,,,,,,,,,,,,,,
-61,970,9,-463,1225,656,93303,987,22332000,53,624354,-111,-4224013,7044,,
,,,,,,,,,,,,,,,
-57,974,0,-315,1163,630,93279,988,22332020,53,624352,-111,-4224013,7044,,
,,,,,,,,,,,,,,,
-62,964,10,-315,1137,717,93293,989,22332060,53,624351,-111,-4224015,7044,,
,,,,,,,,,,,,,,,
-62,966,1,-420,1093,647,93293,991,22332080,53,624351,-111,-4224015,7044,,
,,,,,,,,,,,,,,,
-61,975,13,-227,1312,603,93286,990,22332100,53,624349,-111,-4224018,7044,,
,,,,,,,,,,,,,,,
-62,963,3,-463,936,638,93302,992,22332120,53,624347,-111,-4224020,7045,,
,,,,,,,,,,,,,,,
-62,964,9,-271,1242,603,93285,992,22332160,53,624344,-111,-4224019,7045,,
,,,,,,,,,,,,,,,
-63,976,4,-525,1216,533,93293,991,22332180,53,624344,-111,-4224019,7045,,
,,,,,,,,,,,,,,,
-59,967,4,-175,1146,726,93290,992,22332200,53,624343,-111,-4224016,7045,,
,,,,,,,,,,,,,,,
-62,961,10,-446,1120,647,93292,993,22332220,53,624340,-111,-4224019,7045,,
,,,,,,,,,,,,,,,
-63,970,2,-288,1251,656,93301,993,22332260,53,624337,-111,-4224019,7045,,
,,,,,,,,,,,,,,,
-60,965,10,-402,988,656,93294,994,22332280,53,624337,-111,-4224020,7045,,
,,,,,,,,,,,,,,,
-61,963,2,-262,1251,726,93309,995,22332300,53,624337,-111,-4224020,7045,,
,,,,,,,,,,,,,,,
-63,975,8,-350,1120,621,93284,995,22332320,53,624336,-111,-4224021,7045,,
,,,,,,,,,,,,,,,
-57,969,2,-411,1190,726,93294,996,22332360,53,624334,-111,-4224023,7046,,
,,,,,,,,,,,,,,,
-62,966,9,-175,1225,612,93290,996,22332380,53,624334,-111,-4224025,7046,,
,,,,,,,,,,,,,,,
-60,969,2,-463,1120,612,93291,996,22332400,53,624334,-111,-4224026,7046,,
,,,,,,,,,,,,,,,
-64,966,5,-131,1330,673,93297,997,22332420,53,624333,-111,-4224027,7046,,
,,,,,,,,,,,,,,,
-62,968,7,-367,1172,542,93293,997,22332460,53,624333,-111,-4224026,7045,,
,,,,,,,,,,,,,,,
-57,970,5,-262,1155,665,93290,998,22332480,53,624333,-111,-4224027,7045,,
,,,,,,,,,,,,,,,
-62,969,8,-428,1172,682,93290,998,22332500,53,624333,-111,-4224027,7045,,
,,,,,,,,,,,,,,,
-62,964,3,-358,1321,638,93297,999,22332520,53,624333,-111,-4224027,7045,,
,,,,,,,,,,,,,,,
-59,969,13,-393,1181,630,93293,999,22332560,53,624333,-111,-4224027,7045,,
,,,,,,,,,,,,,,,
-60,970,2,-367,1093,673,93294,1000,22332580,53,624333,-111,-4224028,7046,,
,,,,,,,,,,,,,,,
-62,966,6,-236,1137,691,93284,1001,22332600,53,624331,-111,-4224029,7046,,
,,,,,,,,,,,,,,,
-58,965,5,-586,1172,577,93290,1000,22332620,53,624331,-111,-4224030,7046,,
,,,,,,,,,,,,,,,
-60,969,6,-288,1190,691,93290,1002,22332660,53,624330,-111,-4224030,7046,,
,,,,,,,,,,,,,,,
-62,964,5,-446,1146,621,93294,1002,22332680,53,624331,-111,-4224030,7046,,
,,,,,,,,,,,,,,,
-58,965,5,-105,1356,691,93301,1004,22332700,53,624330,-111,-4224032,7046,,
,,,,,,,,,,,,,,,
-60,972,7,-446,1067,542,93293,1004,22332720,53,624330,-111,-4224032,7046,,
,,,,,,,,,,,,,,,
-60,968,2,-341,1190,673,93299,1005,22332760,53,624329,-111,-4224033,7046,,
,,,,,,,,,,,,,,,
-61,966,9,-376,1216,586,93307,1005,22332780,53,624329,-111,-4224033,7046,,
,,,,,,,,,,,,,,,
-63,968,3,-245,1181,621,93291,1005,22332800,53,624327,-111,-4224035,7046,,
,,,,,,,,,,,,,,,
-63,967,8,-271,1216,708,93289,1006,22332820,53,624326,-111,-4224036,7046,,
,,,,,,,,,,,,,,,
-63,966,2,-428,1251,603,93293,1006,22332860,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-64,968,9,-166,1330,682,93285,1006,22332880,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-59,969,2,-393,1225,691,93288,1008,22332900,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-63,967,7,-236,1260,700,93300,1007,22332920,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-63,966,4,-463,1225,682,93290,1009,22332960,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-61,971,4,-157,1347,647,93298,1009,22332980,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-65,967,8,-393,1190,603,93290,1009,22333000,53,624326,-111,-4224037,7046,,
,,,,,,,,,,,,,,,
-61,969,4,-122,1286,752,93287,1009,22333020,53,624326,-111,-4224039,7046,,
,,,,,,,,,,,,,,,
-60,970,8,-288,1216,630,93302,1010,22333060,53,624325,-111,-4224041,7046,,
,,,,,,,,,,,,,,,
-60,966,2,-323,1356,673,93285,1010,22333080,53,624325,-111,-4224041,7046,,
,,,,,,,,,,,,,,,
-62,967,7,-245,1365,743,93280,1010,22333100,53,624323,-111,-4224041,7047,,
,,,,,,,,,,,,,,,
-60,969,2,-323,1198,656,93289,1012,22333120,53,624323,-111,-4224042,7047,,
,,,,,,,,,,,,,,,
-63,967,6,-332,1303,831,93302,1012,22333160,53,624323,-111,-4224042,7047,,
,,,,,,,,,,,,,,,
-60,968,5,-358,1172,603,93302,1012,22333180,53,624323,-111,-4224044,7047,,
,,,,,,,,,,,,,,,
-63,966,6,-131,1251,708,93287,1013,22333200,53,624322,-111,-4224044,7047,,
,,,,,,,,,,,,,,,
-59,966,5,-367,1286,682,93301,1014,22333220,53,624319,-111,-4224047,7047,,
,,,,,,,,,,,,,,,
-60,966,4,-323,1295,665,93293,1014,22333260,53,624319,-111,-4224049,7047,,
,,,,,,,,,,,,,,,
-60,969,7,-463,1190,595,93299,1015,22333280,53,624319,-111,-4224049,7047,,
,,,,,,,,,,,,,,,
-58,969,3,-376,1286,700,93292,1016,22333300,53,624319,-111,-4224049,7047,,
,,,,,,,,,,,,,,,
-62,969,10,-350,1146,691,93305,1016,22333320,53,624319,-111,-4224049,7048,,
,,,,,,,,,,,,,,,
-65,969,2,-446,1155,647,93291,1018,22333360,53,624318,-111,-4224050,7048,,
,,,,,,,,,,,,,,,
-62,968,6,-350,1286,691,93287,1018,22333380,53,624318,-111,-4224050,7048,,
,,,,,,,,,,,,,,,
-60,971,4,-350,1111,665,93295,1018,22333400,53,624315,-111,-4224052,7048,,
,,,,,,,,,,,,,,,
-65,968,8,-166,1295,595,93305,1019,22333420,53,624313,-111,-4224054,7048,,
,,,,,,,,,,,,,,,
-63,969,4,-568,1251,586,93295,1020,22333460,53,624312,-111,-4224055,7048,,
,,,,,,,,,,,,,,,
-60,966,5,-253,1216,595,93299,1020,22333480,53,624312,-111,-4224054,7049,,
,,,,,,,,,,,,,,,
-60,966,5,-551,1216,752,93291,1020,22333500,53,624312,-111,-4224054,7049,,
,,,,,,,,,,,,,,,
-62,969,4,-192,1286,595,93297,1021,22333520,53,624312,-111,-4224055,7049,,
,,,,,,,,,,,,,,,
-62,964,7,-385,1093,656,93297,1021,22333560,53,624311,-111,-4224056,7049,,
,,,,,,,,,,,,,,,
-57,966,3,-288,1146,682,93295,1022,22333580,53,624308,-111,-4224058,7049,,
,,,,,,,,,,,,,,,
-61,971,6,-341,1216,560,93295,1022,22333600,53,624308,-111,-4224058,7049,,
,,,,,,,,,,,,,,,
-60,969,3,-350,1321,647,93287,1022,22333620,53,624308,-111,-4224058,7049,,
,,,,,,,,,,,,,,,
-61,970,8,-280,1330,638,93293,1023,22333660,53,624307,-111,-4224061,7049,,
,,,,,,,,,,,,,,,
-61,967,2,-376,1190,630,93299,1024,22333680,53,624305,-111,-4224061,7049,,
,,,,,,,,,,,,,,,
-63,969,5,-201,1330,656,93304,1024,22333700,53,624305,-111,-4224063,7049,,
,,,,,,,,,,,,,,,
-61,970,5,-437,1242,656,93292,1024,22333720,53,624304,-111,-4224063,7049,,
,,,,,,,,,,,,,,,
-63,966,6,-402,1216,647,93284,1024,22333760,53,624302,-111,-4224064,7049,,
,,,,,,,,,,,,,,,
-61,966,7,-332,1163,708,93291,1026,22333780,53,624302,-111,-4224065,7049,,
,,,,,,,,,,,,,,,
-60,964,4,-253,1303,577,93300,1026,22333800,53,624301,-111,-4224066,7049,,
,,,,,,,,,,,,,,,
-60,968,9,-463,1260,603,93301,1026,22333820,53,624301,-111,-4224066,7049,,
,,,,,,,,,,,,,,,
-60,967,2,-192,1207,691,93305,1026,22333860,53,624300,-111,-4224069,7050,,
,,,,,,,,,,,,,,,
-60,971,6,-411,1303,647,93291,1028,22333880,53,624298,-111,-4224070,7050,,
,,,,,,,,,,,,,,,
-61,969,5,-157,1163,630,93277,1029,22333900,53,624298,-111,-4224071,7049,,
,,,,,,,,,,,,,,,
-61,967,7,-262,1321,638,93291,1028,22333920,53,624297,-111,-4224071,7049,,
,,,,,,,,,,,,,,,
-60,966,4,-498,1085,542,93297,1029,22333960,53,624295,-111,-4224073,7050,,
,,,,,,,,,,,,,,,
-63,966,6,-210,1251,595,93291,1031,22333980,53,624295,-111,-4224073,7050,,
,,,,,,,,,,,,,,,
-63,967,5,-323,1181,481,93304,1031,22334000,53,624294,-111,-4224073,7050,,
,,,,,,,,,,,,,,,
-63,966,5,-297,1207,708,93293,1032,22334020,53,624294,-111,-4224075,7050,,
,,,,,,,,,,,,,,,
-60,966,5,-402,1155,621,93288,1031,22334060,53,624294,-111,-4224077,7050,,
,,,,,,,,,,,,,,,
-57,967,5,-253,1330,691,93295,1033,22334080,53,624293,-111,-4224077,7050,,
,,,,,,,,,,,,,,,
-62,969,7,-332,1312,638,93303,1033,22334100,53,624293,-111,-4224078,7050,,
,,,,,,,,,,,,,,,
-61,970,4,-148,1312,630,93305,1033,22334120,53,624291,-111,-4224078,7050,,
,,,,,,,,,,,,,,,
-60,969,6,-376,1400,691,93284,1033,22334160,53,624290,-111,-4224078,7050,,
,,,,,,,,,,,,,,,
-58,969,3,-350,1163,647,93282,1034,22334180,53,624290,-111,-4224079,7050,,
,,,,,,,,,,,,,,,
-60,967,7,-315,1347,621,93292,1035,22334200,53,624290,-111,-4224080,7050,,
,,,,,,,,,,,,,,,
-62,969,4,-385,1260,612,93296,1035,22334220,53,624289,-111,-4224082,7050,,
,,,,,,,,,,,,,,,
-59,966,5,-315,1181,647,93306,1036,22334260,53,624287,-111,-4224084,7050,,
,,,,,,,,,,,,,,,
-60,969,4,-367,1233,586,93300,1037,22334280,53,624287,-111,-4224084,7050,,
,,,,,,,,,,,,,,,
-62,969,4,-218,1181,647,93292,1037,22334300,53,624287,-111,-4224085,7050,,
,,,,,,,,,,,,,,,
-58,967,7,-358,1295,612,93294,1038,22334320,53,624284,-111,-4224086,7050,,
,,,,,,,,,,,,,,,
-58,967,5,-245,1242,542,93306,1038,22334360,53,624284,-111,-4224087,7050,,
,,,,,,,,,,,,,,,
-65,966,7,-306,1137,682,93300,1039,22334380,53,624284,-111,-4224086,7050,,
,,,,,,,,,,,,,,,
-60,968,5,-332,1225,673,93295,1039,22334400,53,624284,-111,-4224087,7050,,
,,,,,,,,,,,,,,,
-62,969,7,-288,1251,568,93305,1039,22334420,53,624284,-111,-4224088,7050,,
,,,,,,,,,,,,,,,
-63,966,3,-323,1128,603,93294,1040,22334460,53,624283,-111,-4224092,7051,,
,,,,,,,,,,,,,,,
-62,967,7,-201,1347,770,93306,1040,22334480,53,624283,-111,-4224092,7050,,
,,,,,,,,,,,,,,,
-62,967,5,-420,1190,665,93304,1041,22334500,53,624283,-111,-4224092,7050,,
,,,,,,,,,,,,,,,
-62,968,5,-350,1207,603,93296,1041,22334520,53,624282,-111,-4224095,7050,,
,,,,,,,,,,,,,,,
-60,964,4,-218,1155,586,93311,1042,22334560,53,624279,-111,-4224099,7051,,
,,,,,,,,,,,,,,,
-61,968,4,-341,1303,656,93295,1042,22334580,53,624279,-111,-4224099,7051,,
,,,,,,,,,,,,,,,
-57,966,5,-236,1198,595,93298,1042,22334600,53,624279,-111,-4224099,7051,,
,,,,,,,,,,,,,,,
-60,967,7,-280,1382,612,93297,1043,22334620,53,624277,-111,-4224099,7051,,
,,,,,,,,,,,,,,,
-62,967,7,-428,1260,665,93290,1044,22334660,53,624276,-111,-4224102,7051,,
,,,,,,,,,,,,,,,
-61,970,3,-367,1286,630,93296,1046,22334680,53,624276,-111,-4224102,7051,,
,,,,,,,,,,,,,,,
-62,971,5,-315,1198,603,93309,1046,22334700,53,624275,-111,-4224104,7051,,
,,,,,,,,,,,,,,,
-61,969,5,-385,1277,656,93297,1046,22334720,53,624273,-111,-4224105,7051,,
,,,,,,,,,,,,,,,
-60,969,8,-323,1295,630,93292,1046,22334760,53,624272,-111,-4224107,7051,,
,,,,,,,,,,,,,,,
-61,966,4,-227,1216,612,93303,1047,22334780,53,624272,-111,-4224108,7052,,
,,,,,,,,,,,,,,,
-58,967,4,-253,1268,603,93304,1048,22334800,53,624271,-111,-4224108,7052,,
,,,,,,,,,,,,,,,
-58,969,5,-288,1251,682,93297,1048,22334820,53,624271,-111,-4224108,7052,,
,,,,,,,,,,,,,,,
-65,971,5,-87,1172,691,93301,1048,22334860,53,624269,-111,-4224111,7052,,
,,,,,,,,,,,,,,,
-60,970,5,-420,1268,595,93290,1049,22334880,53,624269,-111,-4224111,7052,,
,,,,,,,,,,,,,,,
-57,969,4,-306,1365,638,93307,1049,22334900,53,624269,-111,-4224112,7052,,
,,,,,,,,,,,,,,,
-61,969,7,-280,1216,726,93291,1049,22334920,53,624269,-111,-4224114,7052,,
,,,,,,,,,,,,,,,
-62,966,4,-472,1233,638,93294,1051,22334960,53,624266,-111,-4224114,7052,,
,,,,,,,,,,,,,,,
-62,969,5,-367,1356,691,93302,1051,22334980,53,624266,-111,-4224114,7052,,
,,,,,,,,,,,,,,,
-60,965,4,-288,1181,647,93297,1052,22335000,53,624265,-111,-4224115,7052,,
,,,,,,,,,,,,,,,
-61,968,7,-297,1286,673,93297,1052,22335020,53,624265,-111,-4224116,7052,,
,,,,,,,,,,,,,,,
-61,966,4,-323,1260,647,93295,1053,22335060,53,624265,-111,-4224118,7052,,
,,,,,,,,,,,,,,,
-64,969,6,-201,1330,595,93292,1054,22335080,53,624265,-111,-4224118,7052,,
,,,,,,,,,,,,,,,
-62,968,5,-420,1277,612,93295,1053,22335100,53,624265,-111,-4224118,7052,,
,,,,,,,,,,,,,,,
-62,967,6,-227,1286,691,93284,1054,22335120,53,624265,-111,-4224116,7052,,
,,,,,,,,,,,,,,,
-63,971,7,-367,1163,743,93299,1055,22335160,53,624264,-111,-4224118,7052,,
,,,,,,,,,,,,,,,
-60,970,5,-236,1181,621,93300,1055,22335180,53,624264,-111,-4224119,7052,,
,,,,,,,,,,,,,,,
-59,969,7,-323,1303,656,93302,1055,22335200,53,624262,-111,-4224120,7053,,
,,,,,,,,,,,,,,,
-60,971,3,-420,1207,656,93295,1055,22335220,53,624261,-111,-4224121,7053,,
,,,,,,,,,,,,,,,
-63,967,6,-253,1163,612,93298,1057,22335260,53,624261,-111,-4224121,7053,,
,,,,,,,,,,,,,,,
-60,966,4,-376,1181,577,93303,1057,22335280,53,624261,-111,-4224122,7053,,
,,,,,,,,,,,,,,,
-60,971,5,-315,1268,691,93298,1057,22335300,53,624261,-111,-4224123,7053,,
,,,,,,,,,,,,,,,
-60,966,4,-393,1312,647,93301,1058,22335320,53,624261,-111,-4224127,7053,,
,,,,,,,,,,,,,,,
-60,970,7,-315,1303,603,93315,1060,22335360,53,624261,-111,-4224128,7053,,
,,,,,,,,,,,,,,,
-61,969,5,-350,1365,647,93300,1060,22335380,53,624261,-111,-4224128,7053,,
,,,,,,,,,,,,,,,
-61,966,6,-297,1277,638,93305,1061,22335400,53,624259,-111,-4224133,7054,,
,,,,,,,,,,,,,,,
-62,966,8,-236,1286,612,93297,1061,22335420,53,624258,-111,-4224135,7054,,
,,,,,,,,,,,,,,,
-61,967,5,-201,1242,691,93298,1062,22335460,53,624259,-111,-4224135,7054,,
,,,,,,,,,,,,,,,
-61,966,5,-306,1207,700,93291,1062,22335480,53,624259,-111,-4224135,7054,,
,,,,,,,,,,,,,,,
-64,968,3,-280,1207,586,93295,1062,22335500,53,624259,-111,-4224135,7054,,
,,,,,,,,,,,,,,,
-62,968,6,-210,1277,603,93297,1063,22335520,53,624259,-111,-4224136,7054,,
,,,,,,,,,,,,,,,
-61,968,5,-192,1338,612,93304,1064,22335560,53,624258,-111,-4224136,7054,,
,,,,,,,,,,,,,,,
-61,968,5,-323,1260,717,93306,1065,22335580,53,624258,-111,-4224137,7054,,
,,,,,,,,,,,,,,,
-61,970,4,-367,1382,586,93289,1065,22335600,53,624257,-111,-4224138,7055,,
,,,,,,,,,,,,,,,
-62,966,5,-271,1312,630,93297,1065,22335620,53,624255,-111,-4224140,7055,,
,,,,,,,,,,,,,,,
-60,966,7,-323,1338,586,93298,1066,22335660,53,624254,-111,-4224142,7055,,
,,,,,,,,,,,,,,,
-62,969,5,-140,1233,665,93308,1066,22335680,53,624254,-111,-4224143,7055,,
,,,,,,,,,,,,,,,
-60,967,7,-402,1295,612,93296,1066,22335700,53,624253,-111,-4224144,7055,,
,,,,,,,,,,,,,,,
-61,966,5,-262,1295,612,93293,1065,22335720,53,624251,-111,-4224149,7056,,
,,,,,,,,,,,,,,,
-61,966,5,-472,1268,656,93310,1067,22335760,53,624251,-111,-4224150,7056,,
,,,,,,,,,,,,,,,
-57,969,5,-288,1181,691,93304,1068,22335780,53,624250,-111,-4224150,7056,,
,,,,,,,,,,,,,,,
-62,969,5,-271,1198,525,93301,1069,22335800,53,624250,-111,-4224151,7057,,
,,,,,,,,,,,,,,,
